color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
924,29,128,191,53.74786379,-12.00450437,-27.93588645
925,67,124,192,54.06964557,-6.308991162,-28.50123136
926,102,118,190,54.58027863,3.420150246,-27.60065937
927,124,112,186,54.98876289,11.26129206,-25.16949881
928,139,108,181,55.2926656,16.84602123,-21.98854287
929,150,104,174,55.52369479,20.85222159,-18.72144877
930,162,100,165,55.76813436,24.77242488,-14.56978908
931,171,96,156,55.95917049,27.59028885,-10.80816709
932,179,93,146,56.11139246,29.7129044,-6.843062501
933,187,90,132,56.23305533,31.28958851,-1.988692303
934,191,88,121,56.27422433,31.72727817,1.46916575
935,251,143,159,76.15874995,29.1275456,5.455781881
936,253,143,148,76.15688419,28.69392292,8.353885677
937,255,143,137,76.14037539,28.01652506,11.17093118
938,255,144,124,76.07759659,26.51233052,14.61949883
939,253,146,108,75.94586735,23.83895054,18.37106093
940,249,150,94,75.77137947,20.51319746,21.5199042
941,242,154,79,75.52986123,15.97232715,24.88617196
942,235,159,65,75.287825,11.48547416,27.46495281
943,226,164,51,75.02336165,6.61503265,29.7881738
944,217,168,35,74.75347994,1.689543384,31.73249522
945,205,173,17,74.46496501,-3.470450309,33.16130094
946,195,177,1,74.22564434,-7.639181284,33.73244568
947,186,180,0,74.01841575,-11.16293608,33.84860536
948,171,184,14,73.7483177,-15.63508093,32.87619507
949,155,188,39,73.50052383,-19.6784798,30.76304015
950,129,193,70,73.17961733,-24.92775109,26.13187182
951,104,196,96,72.96367016,-28.56545332,20.96992113
952,68,198,122,72.77596132,-31.77768565,14.34224693
953,28,199,142,72.69585549,-33.2435771,8.801093861
954,0,199,152,72.66254545,-33.80628532,5.629704184
955,0,199,162,72.64301404,-34.10753032,2.553199286
956,0,190,240,73.24217187,-23.10272398,-23.94407564
957,54,187,244,73.51386187,-18.63127711,-26.05866163
958,94,182,248,73.83898785,-12.82498181,-27.84721856
959,120,178,249,74.14368535,-6.968497915,-28.61555342
960,151,171,249,74.61429549,2.677528209,-28.24171329
961,172,166,245,74.955705,9.732092913,-25.92901968
962,189,161,237,75.24128281,15.46143369,-22.47068188
963,201,158,230,75.44464959,19.28619823,-19.21805737
964,218,153,218,75.72601976,24.01752902,-13.92060452
965,227,149,208,75.88825935,26.43961645,-10.02948714
966,236,147,196,76.00967985,28.06138308,-5.788053632
967,243,145,181,76.0937125,28.93785674,-1.064270013
968,247,144,171,76.13630441,29.22107859,2.090610366
969,255,228,80,92.33765647,-4.551408866,32.86472094
970,250,232,76,92.14905612,-8.000655123,33.35117247
971,241,235,75,91.97992145,-11.03288452,33.43425975
972,227,239,79,91.74484326,-15.16824758,32.74825708
973,212,243,87,91.52867878,-18.91500836,31.42502281
974,181,249,111,91.17574766,-25.01008111,27.34103416
975,152,253,137,90.92558144,-29.43570632,22.13194621
976,119,255,166,90.74175683,-32.85669174,15.58544365
977,90,255,189,90.65200562,-34.65368483,9.677880292
978,73,255,200,90.62598807,-35.21408245,6.534777633
979,53,255,212,90.61211237,-35.53891074,3.195346519
